Drug;Type;Reaction
ZONTIVITY;ADVERSE REACTIONS;Depression
ZONTIVITY;ADVERSE REACTIONS;Diplopia
ZONTIVITY;ADVERSE REACTIONS;Gastrointestinal haemorrhage
ZONTIVITY;ADVERSE REACTIONS;Haemorrhage intracranial
ZONTIVITY;ADVERSE REACTIONS;Haemorrhage
ZONTIVITY;ADVERSE REACTIONS;IIIrd nerve disorder
ZONTIVITY;ADVERSE REACTIONS;Iron deficiency
ZONTIVITY;ADVERSE REACTIONS;Rash
ZONTIVITY;ADVERSE REACTIONS;Rash
ZONTIVITY;ADVERSE REACTIONS;Rash
ZONTIVITY;ADVERSE REACTIONS;Retinal disorder
ZONTIVITY;ADVERSE REACTIONS;Retinopathy
ZONTIVITY;WARNINGS AND PRECAUTIONS;Death
ZONTIVITY;WARNINGS AND PRECAUTIONS;Haemorrhage intracranial
ZONTIVITY;WARNINGS AND PRECAUTIONS;Haemorrhage
ZONTIVITY;WARNINGS AND PRECAUTIONS;Platelet disorder
Trulicity;BOXED WARNINGS;Medullary thyroid cancer
Trulicity;BOXED WARNINGS;Thyroid C-cell hyperplasia
Trulicity;BOXED WARNINGS;Thyroid adenoma
Trulicity;BOXED WARNINGS;Thyroid cancer
Trulicity;BOXED WARNINGS;Thyroid neoplasm
Trulicity;ADVERSE REACTIONS;Abdominal discomfort
Trulicity;ADVERSE REACTIONS;Abdominal distension
Trulicity;ADVERSE REACTIONS;Abdominal pain lower
Trulicity;ADVERSE REACTIONS;Abdominal pain upper
Trulicity;ADVERSE REACTIONS;Abdominal pain
Trulicity;ADVERSE REACTIONS;Abdominal tenderness
Trulicity;ADVERSE REACTIONS;Amylase increased
Trulicity;ADVERSE REACTIONS;Asthenia
Trulicity;ADVERSE REACTIONS;Atrioventricular block first degree
Trulicity;ADVERSE REACTIONS;Constipation
Trulicity;ADVERSE REACTIONS;Decreased appetite
Trulicity;ADVERSE REACTIONS;Diarrhoea
Trulicity;ADVERSE REACTIONS;Dyspepsia
Trulicity;ADVERSE REACTIONS;Electrocardiogram PR prolongation
Trulicity;ADVERSE REACTIONS;Eructation
Trulicity;ADVERSE REACTIONS;Face oedema
Trulicity;ADVERSE REACTIONS;Faecal volume increased
Trulicity;ADVERSE REACTIONS;Fatigue
Trulicity;ADVERSE REACTIONS;Flatulence
Trulicity;ADVERSE REACTIONS;Frequent bowel movements
Trulicity;ADVERSE REACTIONS;Gastrointestinal disorder
Trulicity;ADVERSE REACTIONS;Gastrointestinal disorder
Trulicity;ADVERSE REACTIONS;Gastrointestinal pain
Trulicity;ADVERSE REACTIONS;Gastrooesophageal reflux disease
Trulicity;ADVERSE REACTIONS;Heart rate increased
Trulicity;ADVERSE REACTIONS;Hypersensitivity
Trulicity;ADVERSE REACTIONS;Hypersensitivity
Trulicity;ADVERSE REACTIONS;Hypoglycaemia
Trulicity;ADVERSE REACTIONS;Injection site erythema
Trulicity;ADVERSE REACTIONS;Injection site rash
Trulicity;ADVERSE REACTIONS;Injection site reaction
Trulicity;ADVERSE REACTIONS;Lip swelling
Trulicity;ADVERSE REACTIONS;Lipase increased
Trulicity;ADVERSE REACTIONS;Malaise
Trulicity;ADVERSE REACTIONS;Nausea
Trulicity;ADVERSE REACTIONS;Pancreatitis
Trulicity;ADVERSE REACTIONS;Rash
Trulicity;ADVERSE REACTIONS;Renal impairment
Trulicity;ADVERSE REACTIONS;Retching
Trulicity;ADVERSE REACTIONS;Sinus tachycardia
Trulicity;ADVERSE REACTIONS;Thyroid C-cell hyperplasia
Trulicity;ADVERSE REACTIONS;Thyroid neoplasm
Trulicity;ADVERSE REACTIONS;Urticaria
Trulicity;ADVERSE REACTIONS;Vomiting projectile
Trulicity;ADVERSE REACTIONS;Vomiting
Trulicity;WARNINGS AND PRECAUTIONS;Acute kidney injury
Trulicity;WARNINGS AND PRECAUTIONS;Chronic kidney disease
Trulicity;WARNINGS AND PRECAUTIONS;Dehydration
Trulicity;WARNINGS AND PRECAUTIONS;Diarrhoea
Trulicity;WARNINGS AND PRECAUTIONS;Gastrointestinal disorder
Trulicity;WARNINGS AND PRECAUTIONS;Hypersensitivity
Trulicity;WARNINGS AND PRECAUTIONS;Hypersensitivity
Trulicity;WARNINGS AND PRECAUTIONS;Hypoglycaemia
Trulicity;WARNINGS AND PRECAUTIONS;Medullary thyroid cancer
Trulicity;WARNINGS AND PRECAUTIONS;Nausea
Trulicity;WARNINGS AND PRECAUTIONS;Pancreatitis
Trulicity;WARNINGS AND PRECAUTIONS;Renal impairment
Trulicity;WARNINGS AND PRECAUTIONS;Thyroid C-cell hyperplasia
Trulicity;WARNINGS AND PRECAUTIONS;Thyroid adenoma
Trulicity;WARNINGS AND PRECAUTIONS;Thyroid cancer
Trulicity;WARNINGS AND PRECAUTIONS;Thyroid neoplasm
Trulicity;WARNINGS AND PRECAUTIONS;Vomiting
Aubagio;BOXED WARNINGS;Congenital anomaly
Aubagio;BOXED WARNINGS;Death
Aubagio;BOXED WARNINGS;Hepatic failure
Aubagio;BOXED WARNINGS;Hepatotoxicity
Aubagio;BOXED WARNINGS;Liver injury
Aubagio;BOXED WARNINGS;Teratogenicity
Aubagio;BOXED WARNINGS;Transaminases increased
Aubagio;ADVERSE REACTIONS;Acute kidney injury
Aubagio;ADVERSE REACTIONS;Alanine aminotransferase increased
Aubagio;ADVERSE REACTIONS;Alanine aminotransferase increased
Aubagio;ADVERSE REACTIONS;Alopecia
Aubagio;ADVERSE REACTIONS;Arthralgia
Aubagio;ADVERSE REACTIONS;Blood creatinine increased
Aubagio;ADVERSE REACTIONS;Blood phosphorus decreased
Aubagio;ADVERSE REACTIONS;Blood pressure increased
Aubagio;ADVERSE REACTIONS;Bone marrow toxicity
Aubagio;ADVERSE REACTIONS;Cardiac death
Aubagio;ADVERSE REACTIONS;Diarrhoea
Aubagio;ADVERSE REACTIONS;Headache
Aubagio;ADVERSE REACTIONS;Hepatotoxicity
Aubagio;ADVERSE REACTIONS;Hyperkalaemia
Aubagio;ADVERSE REACTIONS;Hypertension
Aubagio;ADVERSE REACTIONS;Hypophosphataemia
Aubagio;ADVERSE REACTIONS;Immunosuppression
Aubagio;ADVERSE REACTIONS;Infection
Aubagio;ADVERSE REACTIONS;Myocardial infarction
Aubagio;ADVERSE REACTIONS;Nausea
Aubagio;ADVERSE REACTIONS;Neuropathy peripheral
Aubagio;ADVERSE REACTIONS;Neutropenia
Aubagio;ADVERSE REACTIONS;Paraesthesia
Aubagio;ADVERSE REACTIONS;Respiratory disorder
Aubagio;ADVERSE REACTIONS;Skin reaction
Aubagio;ADVERSE REACTIONS;Sudden death
Aubagio;ADVERSE REACTIONS;Urate nephropathy
Aubagio;ADVERSE REACTIONS;Urine uric acid decreased
Aubagio;WARNINGS AND PRECAUTIONS;Agranulocytosis
Aubagio;WARNINGS AND PRECAUTIONS;Alanine aminotransferase increased
Aubagio;WARNINGS AND PRECAUTIONS;Aspergillus infection
Aubagio;WARNINGS AND PRECAUTIONS;Blood pressure increased
Aubagio;WARNINGS AND PRECAUTIONS;Carpal tunnel syndrome
Aubagio;WARNINGS AND PRECAUTIONS;Cytomegalovirus hepatitis
Aubagio;WARNINGS AND PRECAUTIONS;Death
Aubagio;WARNINGS AND PRECAUTIONS;Foetal death
Aubagio;WARNINGS AND PRECAUTIONS;Hepatic failure
Aubagio;WARNINGS AND PRECAUTIONS;Hepatic function abnormal
Aubagio;WARNINGS AND PRECAUTIONS;Hypertension
Aubagio;WARNINGS AND PRECAUTIONS;Immunosuppression
Aubagio;WARNINGS AND PRECAUTIONS;Infection
Aubagio;WARNINGS AND PRECAUTIONS;Interstitial lung disease
Aubagio;WARNINGS AND PRECAUTIONS;Jaundice
Aubagio;WARNINGS AND PRECAUTIONS;Liver injury
Aubagio;WARNINGS AND PRECAUTIONS;Lymphocyte count decreased
Aubagio;WARNINGS AND PRECAUTIONS;Lymphocyte count decreased
Aubagio;WARNINGS AND PRECAUTIONS;Lymphoproliferative disorder
Aubagio;WARNINGS AND PRECAUTIONS;Mononeuropathy
Aubagio;WARNINGS AND PRECAUTIONS;Neoplasm malignant
Aubagio;WARNINGS AND PRECAUTIONS;Neuropathy peripheral
Aubagio;WARNINGS AND PRECAUTIONS;Neutrophil count decreased
Aubagio;WARNINGS AND PRECAUTIONS;Neutrophil count decreased
Aubagio;WARNINGS AND PRECAUTIONS;Pancytopenia
Aubagio;WARNINGS AND PRECAUTIONS;Platelet count decreased
Aubagio;WARNINGS AND PRECAUTIONS;Pneumocystis jirovecii pneumonia
Aubagio;WARNINGS AND PRECAUTIONS;Pneumonia klebsiella
Aubagio;WARNINGS AND PRECAUTIONS;Polyneuropathy
Aubagio;WARNINGS AND PRECAUTIONS;Sepsis
Aubagio;WARNINGS AND PRECAUTIONS;Stevens-Johnson syndrome
Aubagio;WARNINGS AND PRECAUTIONS;Teratogenicity
Aubagio;WARNINGS AND PRECAUTIONS;Thrombocytopenia
Aubagio;WARNINGS AND PRECAUTIONS;Toxic epidermal necrolysis
Aubagio;WARNINGS AND PRECAUTIONS;Transaminases increased
Aubagio;WARNINGS AND PRECAUTIONS;Tuberculosis
Aubagio;WARNINGS AND PRECAUTIONS;White blood cell count decreased
Aubagio;WARNINGS AND PRECAUTIONS;White blood cell count decreased
Prolia;ADVERSE REACTIONS;Abdominal infection
Prolia;ADVERSE REACTIONS;Abdominal pain upper
Prolia;ADVERSE REACTIONS;Anaemia
Prolia;ADVERSE REACTIONS;Anaphylactic reaction
Prolia;ADVERSE REACTIONS;Angina pectoris
Prolia;ADVERSE REACTIONS;Arthralgia
Prolia;ADVERSE REACTIONS;Asthenia
Prolia;ADVERSE REACTIONS;Atrial fibrillation
Prolia;ADVERSE REACTIONS;Atypical femur fracture
Prolia;ADVERSE REACTIONS;Back pain
Prolia;ADVERSE REACTIONS;Basal cell carcinoma
Prolia;ADVERSE REACTIONS;Blood calcium decreased
Prolia;ADVERSE REACTIONS;Blood parathyroid hormone increased
Prolia;ADVERSE REACTIONS;Bone pain
Prolia;ADVERSE REACTIONS;Breast cancer
Prolia;ADVERSE REACTIONS;Cataract
Prolia;ADVERSE REACTIONS;Cellulitis
Prolia;ADVERSE REACTIONS;Constipation
Prolia;ADVERSE REACTIONS;Cystitis
Prolia;ADVERSE REACTIONS;Death
Prolia;ADVERSE REACTIONS;Dermatitis
Prolia;ADVERSE REACTIONS;Ear infection
Prolia;ADVERSE REACTIONS;Eczema
Prolia;ADVERSE REACTIONS;Endocarditis
Prolia;ADVERSE REACTIONS;Erysipelas
Prolia;ADVERSE REACTIONS;Erythema
Prolia;ADVERSE REACTIONS;Femur fracture
Prolia;ADVERSE REACTIONS;Femur fracture
Prolia;ADVERSE REACTIONS;Flatulence
Prolia;ADVERSE REACTIONS;Gastrointestinal carcinoma
Prolia;ADVERSE REACTIONS;Gastrooesophageal reflux disease
Prolia;ADVERSE REACTIONS;Genital cancer male
Prolia;ADVERSE REACTIONS;Genital neoplasm malignant female
Prolia;ADVERSE REACTIONS;Herpes zoster
Prolia;ADVERSE REACTIONS;Hypercholesterolaemia
Prolia;ADVERSE REACTIONS;Hypersensitivity
Prolia;ADVERSE REACTIONS;Hypocalcaemia
Prolia;ADVERSE REACTIONS;Infection
Prolia;ADVERSE REACTIONS;Insomnia
Prolia;ADVERSE REACTIONS;Musculoskeletal pain
Prolia;ADVERSE REACTIONS;Myalgia
Prolia;ADVERSE REACTIONS;Nasopharyngitis
Prolia;ADVERSE REACTIONS;Neoplasm malignant
Prolia;ADVERSE REACTIONS;Oedema peripheral
Prolia;ADVERSE REACTIONS;Opportunistic infection
Prolia;ADVERSE REACTIONS;Osteonecrosis of jaw
Prolia;ADVERSE REACTIONS;Pain in extremity
Prolia;ADVERSE REACTIONS;Pancreatitis
Prolia;ADVERSE REACTIONS;Pharyngitis
Prolia;ADVERSE REACTIONS;Pneumonia
Prolia;ADVERSE REACTIONS;Prostate cancer
Prolia;ADVERSE REACTIONS;Pruritus
Prolia;ADVERSE REACTIONS;Rash
Prolia;ADVERSE REACTIONS;Sciatica
Prolia;ADVERSE REACTIONS;Skin infection
Prolia;ADVERSE REACTIONS;Skin reaction
Prolia;ADVERSE REACTIONS;Spinal osteoarthritis
Prolia;ADVERSE REACTIONS;Swelling face
Prolia;ADVERSE REACTIONS;Upper respiratory tract infection
Prolia;ADVERSE REACTIONS;Urinary tract infection
Prolia;ADVERSE REACTIONS;Urticaria
Prolia;ADVERSE REACTIONS;Vertigo
Prolia;WARNINGS AND PRECAUTIONS;Abdominal infection
Prolia;WARNINGS AND PRECAUTIONS;Anaphylactic reaction
Prolia;WARNINGS AND PRECAUTIONS;Anaphylactic reaction
Prolia;WARNINGS AND PRECAUTIONS;Arthralgia
Prolia;WARNINGS AND PRECAUTIONS;Atypical femur fracture
Prolia;WARNINGS AND PRECAUTIONS;Atypical fracture
Prolia;WARNINGS AND PRECAUTIONS;Blood parathyroid hormone increased
Prolia;WARNINGS AND PRECAUTIONS;Bone development abnormal
Prolia;WARNINGS AND PRECAUTIONS;Bone pain
Prolia;WARNINGS AND PRECAUTIONS;Dermatitis
Prolia;WARNINGS AND PRECAUTIONS;Dyspnoea
Prolia;WARNINGS AND PRECAUTIONS;Ear infection
Prolia;WARNINGS AND PRECAUTIONS;Eczema
Prolia;WARNINGS AND PRECAUTIONS;Endocarditis
Prolia;WARNINGS AND PRECAUTIONS;Face oedema
Prolia;WARNINGS AND PRECAUTIONS;Femur fracture
Prolia;WARNINGS AND PRECAUTIONS;Hypersensitivity
Prolia;WARNINGS AND PRECAUTIONS;Hypocalcaemia
Prolia;WARNINGS AND PRECAUTIONS;Hypotension
Prolia;WARNINGS AND PRECAUTIONS;Impaired healing
Prolia;WARNINGS AND PRECAUTIONS;Infection
Prolia;WARNINGS AND PRECAUTIONS;Low turnover osteopathy
Prolia;WARNINGS AND PRECAUTIONS;Myalgia
Prolia;WARNINGS AND PRECAUTIONS;Opportunistic infection
Prolia;WARNINGS AND PRECAUTIONS;Osteonecrosis of jaw
Prolia;WARNINGS AND PRECAUTIONS;Pain in extremity
Prolia;WARNINGS AND PRECAUTIONS;Pruritus
Prolia;WARNINGS AND PRECAUTIONS;Rash
Prolia;WARNINGS AND PRECAUTIONS;Respiratory tract oedema
Prolia;WARNINGS AND PRECAUTIONS;Skin infection
Prolia;WARNINGS AND PRECAUTIONS;Skin reaction
Prolia;WARNINGS AND PRECAUTIONS;Throat tightness
Prolia;WARNINGS AND PRECAUTIONS;Urinary tract infection
Prolia;WARNINGS AND PRECAUTIONS;Urticaria
Brintellix;BOXED WARNINGS;Suicidal behaviour
Brintellix;BOXED WARNINGS;Suicidal ideation
Brintellix;ADVERSE REACTIONS;Abnormal dreams
Brintellix;ADVERSE REACTIONS;Condition aggravated
Brintellix;ADVERSE REACTIONS;Constipation
Brintellix;ADVERSE REACTIONS;Diarrhoea
Brintellix;ADVERSE REACTIONS;Dizziness
Brintellix;ADVERSE REACTIONS;Dry mouth
Brintellix;ADVERSE REACTIONS;Dysgeusia
Brintellix;ADVERSE REACTIONS;Dyspepsia
Brintellix;ADVERSE REACTIONS;Flatulence
Brintellix;ADVERSE REACTIONS;Flushing
Brintellix;ADVERSE REACTIONS;Haemorrhagic disorder
Brintellix;ADVERSE REACTIONS;Hypersensitivity
Brintellix;ADVERSE REACTIONS;Hypomania
Brintellix;ADVERSE REACTIONS;Hyponatraemia
Brintellix;ADVERSE REACTIONS;Mania
Brintellix;ADVERSE REACTIONS;Nausea
Brintellix;ADVERSE REACTIONS;Pruritus generalised
Brintellix;ADVERSE REACTIONS;Pruritus
Brintellix;ADVERSE REACTIONS;Serotonin syndrome
Brintellix;ADVERSE REACTIONS;Sexual dysfunction
Brintellix;ADVERSE REACTIONS;Suicidal ideation
Brintellix;ADVERSE REACTIONS;Vertigo
Brintellix;ADVERSE REACTIONS;Vomiting
Brintellix;WARNINGS AND PRECAUTIONS;Aggression
Brintellix;WARNINGS AND PRECAUTIONS;Agitation
Brintellix;WARNINGS AND PRECAUTIONS;Akathisia
Brintellix;WARNINGS AND PRECAUTIONS;Angle closure glaucoma
Brintellix;WARNINGS AND PRECAUTIONS;Angle closure glaucoma
Brintellix;WARNINGS AND PRECAUTIONS;Anxiety
Brintellix;WARNINGS AND PRECAUTIONS;Blood sodium decreased
Brintellix;WARNINGS AND PRECAUTIONS;Completed suicide
Brintellix;WARNINGS AND PRECAUTIONS;Ecchymosis
Brintellix;WARNINGS AND PRECAUTIONS;Epistaxis
Brintellix;WARNINGS AND PRECAUTIONS;Gastrointestinal haemorrhage
Brintellix;WARNINGS AND PRECAUTIONS;Haematoma
Brintellix;WARNINGS AND PRECAUTIONS;Haemorrhage
Brintellix;WARNINGS AND PRECAUTIONS;Haemorrhage
Brintellix;WARNINGS AND PRECAUTIONS;Haemorrhagic disorder
Brintellix;WARNINGS AND PRECAUTIONS;Hostility
Brintellix;WARNINGS AND PRECAUTIONS;Hypomania
Brintellix;WARNINGS AND PRECAUTIONS;Hyponatraemia
Brintellix;WARNINGS AND PRECAUTIONS;Impulsive behaviour
Brintellix;WARNINGS AND PRECAUTIONS;Inappropriate antidiuretic hormone secretion
Brintellix;WARNINGS AND PRECAUTIONS;Inappropriate antidiuretic hormone secretion
Brintellix;WARNINGS AND PRECAUTIONS;Insomnia
Brintellix;WARNINGS AND PRECAUTIONS;Irritability
Brintellix;WARNINGS AND PRECAUTIONS;Mania
Brintellix;WARNINGS AND PRECAUTIONS;Mydriasis
Brintellix;WARNINGS AND PRECAUTIONS;Panic attack
Brintellix;WARNINGS AND PRECAUTIONS;Petechiae
Brintellix;WARNINGS AND PRECAUTIONS;Restlessness
Brintellix;WARNINGS AND PRECAUTIONS;Serotonin syndrome
Brintellix;WARNINGS AND PRECAUTIONS;Suicidal behaviour
Brintellix;WARNINGS AND PRECAUTIONS;Suicidal ideation
DALVANCE;ADVERSE REACTIONS;Abdominal pain
DALVANCE;ADVERSE REACTIONS;Alanine aminotransferase increased
DALVANCE;ADVERSE REACTIONS;Anaemia
DALVANCE;ADVERSE REACTIONS;Anaphylactoid reaction
DALVANCE;ADVERSE REACTIONS;Blood alkaline phosphatase increased
DALVANCE;ADVERSE REACTIONS;Bronchospasm
DALVANCE;ADVERSE REACTIONS;Clostridium difficile colitis
DALVANCE;ADVERSE REACTIONS;Diarrhoea
DALVANCE;ADVERSE REACTIONS;Dizziness
DALVANCE;ADVERSE REACTIONS;Eosinophilia
DALVANCE;ADVERSE REACTIONS;Flushing
DALVANCE;ADVERSE REACTIONS;Gastrointestinal haemorrhage
DALVANCE;ADVERSE REACTIONS;Haematochezia
DALVANCE;ADVERSE REACTIONS;Haemorrhagic anaemia
DALVANCE;ADVERSE REACTIONS;Headache
DALVANCE;ADVERSE REACTIONS;Hepatotoxicity
DALVANCE;ADVERSE REACTIONS;Hypoglycaemia
DALVANCE;ADVERSE REACTIONS;Infusion related reaction
DALVANCE;ADVERSE REACTIONS;International normalised ratio increased
DALVANCE;ADVERSE REACTIONS;Leukopenia
DALVANCE;ADVERSE REACTIONS;Melaena
DALVANCE;ADVERSE REACTIONS;Nausea
DALVANCE;ADVERSE REACTIONS;Neutropenia
DALVANCE;ADVERSE REACTIONS;Oral candidiasis
DALVANCE;ADVERSE REACTIONS;Petechiae
DALVANCE;ADVERSE REACTIONS;Phlebitis
DALVANCE;ADVERSE REACTIONS;Pruritus
DALVANCE;ADVERSE REACTIONS;Rash
DALVANCE;ADVERSE REACTIONS;Spontaneous haematoma
DALVANCE;ADVERSE REACTIONS;Thrombocytopenia
DALVANCE;ADVERSE REACTIONS;Thrombocytosis
DALVANCE;ADVERSE REACTIONS;Transaminases increased
DALVANCE;ADVERSE REACTIONS;Urticaria
DALVANCE;ADVERSE REACTIONS;Vomiting
DALVANCE;ADVERSE REACTIONS;Vulvovaginal mycotic infection
DALVANCE;ADVERSE REACTIONS;Wound haemorrhage
DALVANCE;WARNINGS AND PRECAUTIONS;Alanine aminotransferase abnormal
DALVANCE;WARNINGS AND PRECAUTIONS;Alanine aminotransferase increased
DALVANCE;WARNINGS AND PRECAUTIONS;Alanine aminotransferase increased
DALVANCE;WARNINGS AND PRECAUTIONS;Anaphylactic reaction
DALVANCE;WARNINGS AND PRECAUTIONS;Aspartate aminotransferase abnormal
DALVANCE;WARNINGS AND PRECAUTIONS;Blood bilirubin abnormal
DALVANCE;WARNINGS AND PRECAUTIONS;Clostridium difficile colitis
DALVANCE;WARNINGS AND PRECAUTIONS;Colitis
DALVANCE;WARNINGS AND PRECAUTIONS;Death
DALVANCE;WARNINGS AND PRECAUTIONS;Diarrhoea
DALVANCE;WARNINGS AND PRECAUTIONS;Flushing
DALVANCE;WARNINGS AND PRECAUTIONS;Hypersensitivity
DALVANCE;WARNINGS AND PRECAUTIONS;Infusion related reaction
DALVANCE;WARNINGS AND PRECAUTIONS;Pruritus
DALVANCE;WARNINGS AND PRECAUTIONS;Rash
DALVANCE;WARNINGS AND PRECAUTIONS;Red man syndrome
DALVANCE;WARNINGS AND PRECAUTIONS;Skin reaction
DALVANCE;WARNINGS AND PRECAUTIONS;Urticaria
Horizant;ADVERSE REACTIONS;Asthenia
Horizant;ADVERSE REACTIONS;Balance disorder
Horizant;ADVERSE REACTIONS;Blood creatine phosphokinase increased
Horizant;ADVERSE REACTIONS;Breast enlargement
Horizant;ADVERSE REACTIONS;Confusional state
Horizant;ADVERSE REACTIONS;Depression
Horizant;ADVERSE REACTIONS;Disorientation
Horizant;ADVERSE REACTIONS;Dizziness
Horizant;ADVERSE REACTIONS;Dry mouth
Horizant;ADVERSE REACTIONS;Fatigue
Horizant;ADVERSE REACTIONS;Feeling abnormal
Horizant;ADVERSE REACTIONS;Feeling drunk
Horizant;ADVERSE REACTIONS;Flatulence
Horizant;ADVERSE REACTIONS;Gynaecomastia
Horizant;ADVERSE REACTIONS;Headache
Horizant;ADVERSE REACTIONS;Increased appetite
Horizant;ADVERSE REACTIONS;Insomnia
Horizant;ADVERSE REACTIONS;Irritability
Horizant;ADVERSE REACTIONS;Lethargy
Horizant;ADVERSE REACTIONS;Libido decreased
Horizant;ADVERSE REACTIONS;Nausea
Horizant;ADVERSE REACTIONS;Oedema peripheral
Horizant;ADVERSE REACTIONS;Sedation
Horizant;ADVERSE REACTIONS;Somnolence
Horizant;ADVERSE REACTIONS;Vertigo
Horizant;ADVERSE REACTIONS;Vision blurred
Horizant;ADVERSE REACTIONS;Weight increased
Horizant;WARNINGS AND PRECAUTIONS;Acinar cell carcinoma of pancreas
Horizant;WARNINGS AND PRECAUTIONS;Adrenal neoplasm
Horizant;WARNINGS AND PRECAUTIONS;Asthenia
Horizant;WARNINGS AND PRECAUTIONS;Brain neoplasm
Horizant;WARNINGS AND PRECAUTIONS;Breast cancer
Horizant;WARNINGS AND PRECAUTIONS;Breast neoplasm
Horizant;WARNINGS AND PRECAUTIONS;Completed suicide
Horizant;WARNINGS AND PRECAUTIONS;Death
Horizant;WARNINGS AND PRECAUTIONS;Dizziness
Horizant;WARNINGS AND PRECAUTIONS;Drug reaction with eosinophilia and systemic symptoms
Horizant;WARNINGS AND PRECAUTIONS;Drug reaction with eosinophilia and systemic symptoms
Horizant;WARNINGS AND PRECAUTIONS;Endometrial cancer stage 0
Horizant;WARNINGS AND PRECAUTIONS;Eosinophilia
Horizant;WARNINGS AND PRECAUTIONS;Fatigue
Horizant;WARNINGS AND PRECAUTIONS;Haematology test abnormal
Horizant;WARNINGS AND PRECAUTIONS;Hepatitis
Horizant;WARNINGS AND PRECAUTIONS;Hypersensitivity
Horizant;WARNINGS AND PRECAUTIONS;Impaired driving ability
Horizant;WARNINGS AND PRECAUTIONS;Impaired work ability
Horizant;WARNINGS AND PRECAUTIONS;Lung neoplasm
Horizant;WARNINGS AND PRECAUTIONS;Lymphadenopathy
Horizant;WARNINGS AND PRECAUTIONS;Myocarditis
Horizant;WARNINGS AND PRECAUTIONS;Myositis
Horizant;WARNINGS AND PRECAUTIONS;Neoplasm
Horizant;WARNINGS AND PRECAUTIONS;Nephritis
Horizant;WARNINGS AND PRECAUTIONS;Non-Hodgkin's lymphoma
Horizant;WARNINGS AND PRECAUTIONS;Prostate cancer
Horizant;WARNINGS AND PRECAUTIONS;Pyrexia
Horizant;WARNINGS AND PRECAUTIONS;Rash
Horizant;WARNINGS AND PRECAUTIONS;Sedation
Horizant;WARNINGS AND PRECAUTIONS;Somnolence
Horizant;WARNINGS AND PRECAUTIONS;Suicidal behaviour
Horizant;WARNINGS AND PRECAUTIONS;Suicidal ideation
VIIBRYD;BOXED WARNINGS;Suicidal behaviour
VIIBRYD;BOXED WARNINGS;Suicidal ideation
VIIBRYD;ADVERSE REACTIONS;Abdominal discomfort
VIIBRYD;ADVERSE REACTIONS;Abdominal distension
VIIBRYD;ADVERSE REACTIONS;Abdominal pain upper
VIIBRYD;ADVERSE REACTIONS;Abdominal pain
VIIBRYD;ADVERSE REACTIONS;Abnormal dreams
VIIBRYD;ADVERSE REACTIONS;Akathisia
VIIBRYD;ADVERSE REACTIONS;Angle closure glaucoma
VIIBRYD;ADVERSE REACTIONS;Anorgasmia
VIIBRYD;ADVERSE REACTIONS;Arthralgia
VIIBRYD;ADVERSE REACTIONS;Cataract
VIIBRYD;ADVERSE REACTIONS;Diarrhoea
VIIBRYD;ADVERSE REACTIONS;Dizziness
VIIBRYD;ADVERSE REACTIONS;Drug eruption
VIIBRYD;ADVERSE REACTIONS;Drug withdrawal syndrome
VIIBRYD;ADVERSE REACTIONS;Dry eye
VIIBRYD;ADVERSE REACTIONS;Dry mouth
VIIBRYD;ADVERSE REACTIONS;Dyspepsia
VIIBRYD;ADVERSE REACTIONS;Ejaculation disorder
VIIBRYD;ADVERSE REACTIONS;Erectile dysfunction
VIIBRYD;ADVERSE REACTIONS;Fatigue
VIIBRYD;ADVERSE REACTIONS;Flatulence
VIIBRYD;ADVERSE REACTIONS;Gastroenteritis
VIIBRYD;ADVERSE REACTIONS;Haemorrhage
VIIBRYD;ADVERSE REACTIONS;Hallucination
VIIBRYD;ADVERSE REACTIONS;Headache
VIIBRYD;ADVERSE REACTIONS;Hyperhidrosis
VIIBRYD;ADVERSE REACTIONS;Hypomania
VIIBRYD;ADVERSE REACTIONS;Hyponatraemia
VIIBRYD;ADVERSE REACTIONS;Increased appetite
VIIBRYD;ADVERSE REACTIONS;Insomnia
VIIBRYD;ADVERSE REACTIONS;Irritability
VIIBRYD;ADVERSE REACTIONS;Libido decreased
VIIBRYD;ADVERSE REACTIONS;Mania
VIIBRYD;ADVERSE REACTIONS;Migraine
VIIBRYD;ADVERSE REACTIONS;Nausea
VIIBRYD;ADVERSE REACTIONS;Night sweats
VIIBRYD;ADVERSE REACTIONS;Orgasm abnormal
VIIBRYD;ADVERSE REACTIONS;Palpitations
VIIBRYD;ADVERSE REACTIONS;Panic attack
VIIBRYD;ADVERSE REACTIONS;Paraesthesia
VIIBRYD;ADVERSE REACTIONS;Rash generalised
VIIBRYD;ADVERSE REACTIONS;Rash
VIIBRYD;ADVERSE REACTIONS;Restless legs syndrome
VIIBRYD;ADVERSE REACTIONS;Restlessness
VIIBRYD;ADVERSE REACTIONS;Sedation
VIIBRYD;ADVERSE REACTIONS;Seizure
VIIBRYD;ADVERSE REACTIONS;Serotonin syndrome
VIIBRYD;ADVERSE REACTIONS;Sexual dysfunction
VIIBRYD;ADVERSE REACTIONS;Somnolence
VIIBRYD;ADVERSE REACTIONS;Suicidal behaviour
VIIBRYD;ADVERSE REACTIONS;Suicidal ideation
VIIBRYD;ADVERSE REACTIONS;Suicide attempt
VIIBRYD;ADVERSE REACTIONS;Tension headache
VIIBRYD;ADVERSE REACTIONS;Tremor
VIIBRYD;ADVERSE REACTIONS;Urticaria
